#,inquiry_no,brand_channel,internal_product_code,inquiry_category,title,inquiry_content,inquiry_registration_date_time,customer_id,customer_name,order_id,naver_product_no,product_name,product_order_option,answer_content,answered,ai_answer_generated,cs_reviewed,processing_status,created_at,updated_at
1,302260746,KEYCHRON,,반품,반품주소 여기로 보내면되나요,경기도 용인시 처인구 포곡읍 성산로 434 3층,2024-10-03 06:50:14,sjh5***,서*후,2024092824021431,8549251890,키크론 Q0 PRO MAX 알루미늄 무선 커스텀 기계식 키보드 숫자 키패드 애플 맥,옵션 선택: 카본 블랙｜갈축,"안녕하세요 키크론입니다!

네! 자동으로 반송장이 발급되어 대한통운 기사님이 수거하러 방문하실 예정입니다.
그 전에 먼저 발송해주시려면 아래 주소로 발송해주세요!

(보내 주실 때 성함 연락처 등 기재해서 동봉 해주시면 좀 더 빠른 처리 가능 합니다.)
투비네트웍스

02-1833-6807, 031-1833-6807

경기도 용인시 처인구 포곡읍 성산로 434(마성리 13) , 투비네트웍스(키크론) 3층

감사합니다.
",true,false,false,pending,2025-10-02 09:32:23,2025-10-02 09:32:23
2,302265787,KEYCHRON,,상품,블루투스 연결 오류 및 매크로 설정 불가,"키크론 런쳐 프로그램을 설정해서 기기인식을 하려고 했으나 맥에선 되지 않았고 윈도우에서는 인식이 되었지만 설장 창이 나타나지 않았습니다

그리고 맥북에 블루투스 연결시 간헐적으로 키가 입력되지 않거나 밀려서 타이핑 되는 상황이 반복적으로 나타났습니다.

이에 대한 해결방법을 알고 싶습니다",2024-10-03 11:07:05,is****,한*연,2024093075143921,10801189788,[체감가12만9천원] 키크론 K8 PRO MAX 무선 5in1 2.4G 매크로 텐키리스 저소음 기계식 키보드,프레임 선택: 레트로 / 스위치 선택: 저소음적축 (보글보글💗) / 🔥신상위크 선착순 혜택🔥: 키크론 B1 (쉘 화이트),"안녕하세요 키크론입니다!

키크론 런처는 크롬에서 작동시 가장 원활하게 작동 가늗합니다!
맥 & 윈도우 모두 유선연결 후 크롬에서 작동하시기를 권장드려요💜

또한 블루투스 관련하여 증상이 계속된다면
키크론 공식 홈페이지 - 고객지원 - FAQ에 블루투스를 검색하신 다음 MAC 블루투스 모듈 재설정 및 블루투스 간섭 체크리스트등을 확인 해 보신 다음 지연이 반복되는 경우 AS신청(https://keychron.kr/as/)해 주시면 최대한 빠르게 확인 후 조치드리겠습니다!
감사합니다😊",true,false,false,pending,2025-10-02 09:32:23,2025-10-02 09:32:23
3,302274312,KEYCHRON,,기타,AS문의,"키크론 B1 블루투스키보드 AS 문의합니다.
3월 구매후 6개월 정도 사용했는데, 키보드 인식 오류 불량 문제 발생했습니다. (화면이 무한으로 아래로 자동 스크롤됨)
AS 방법 문의합니다.",2024-10-03 17:17:57,wkch****,채*기,2024032635342201,9172410328,키크론 B1 블루투스키보드 아이패드 무선 태블릿 휴대용 멀티페어링,옵션 선택: 딥 블랙 ♥신상♥,"안녕하세요 고객님
키크론 입니다.

번거로우시겠지만 아래 경로로 AS접수 해주시면 담당부서에서 확인하여 처리 드리겠습니다.

키크론 공식 홈페이지 - 고객지원 - AS접수에 구매내역과 증상의사진 첨부하여 접수 부탁 드립니다.
(https://keychron.kr/as/)

문의 주셔서 감사합니다 :)
",true,false,false,pending,2025-10-02 09:32:23,2025-10-02 09:32:23
4,302278019,KEYCHRON,,상품,키보드 먼지 덮개,"안녕하세요 
다른 구매자분들은 키보드 플라스틱 먼지 덮개가 같이 오는 것 같은데 저는 키보드만 왔습니다
이제 안오는건가요? ",2024-10-03 20:17:46,rlat********,김*연,2024093057356181,6153621276,키크론 K3 레트로 화이트 SE 2.4G 매크로 슬림 로우 프로파일 무선 기계식 키보드,옵션 선택: 적축,"안녕하세요 키크론입니다!

구버전의 경우 플라스틱 먼지 덮개가 포함, 신버전의 경우 플라스틱 덮개 포함되어있지 않습니다!
즐거운 하루 보내세요💛",true,false,false,pending,2025-10-02 09:32:23,2025-10-02 09:32:23
5,302278156,KEYCHRON,,상품,제품받아 사용중인데..,"제품 받아 사용중인데 자동으로 "".....""이 계속 눌러지는 현상이 발생하는데 왜 그러는걸까요.. ",2024-10-03 20:23:56,ppul*****,이*윤,2024092434568141,10801190702,[체감가12만9천원] 키크론 K10 PRO MAX 무선 2.4G 풀배열 매크로 사무실 저소음 기계식 키보드,프레임 선택: 카본 블랙 / 스위치 선택: 저소음바나나축 (몽글몽글💓) / 🔥신상위크 선착순 혜택🔥: 키크론 B1 (라벤더 퍼플),"안녕하세요 키크론입니다!

음.. 우선 . 키에 있는 스위치 불량 또는 기판문제등이 의심됩니다😥
빠르게 확인 해 볼 수 있는 방법은
1. FN+Z+j를 4초간 눌러 초기화
2, "".""에 있는 스위치와 다른 정상작동하는 스위치를 교체하여 테스트

정상작동하는경우 : ""스위치 보내주세요!"" 라고 문의 부탁드리며,
동일 증상이 발생하는경우 : https://keychron.kr/as/ 를 통해 A/S접수시 상황에따라 초기불량으로 인한 교환 또는 단순 A/S 등이 진행됩니다!
즐거운 하루 보내세요:)",true,false,false,pending,2025-10-02 09:32:23,2025-10-02 09:32:23
6,302279413,KEYCHRON,,상품,키크론 Q1 max,"매장에서 바나나축 타건감을 직접 쳐보고 샀는데, 수령 받은 제품과 전시제품 타건감 차이가 너무 나는 것 같아요

매장 3회 이상 재방문해서 타건감 확인했는데 특유의 쫄깃함이 없고 너무 가볍게 눌리는 느낌입니다 어떻게 조치해야 할지 확인 부탁드립니다",2024-10-03 21:23:22,hj18*****,이*주,2024092427469551,9826874268,키크론 Q1 PRO MAX 알루미늄 RGB 핫스왑 무선 커스텀 기계식 키보드 블루투스,옵션 선택: 영문각인 블랙 바나나축,"안녕하세요 키크론입니다!

매장에서 어떤 제품의 바나나축을 타건해보신걸까요?😅
동일한 스위치여도 K시리즈와 Q시리즈의 내부 흡음에 따른 타건감의 차이가 있을 수 있습니다!

1. 매장과 해당 제품에 체결된 스위치가 모두 바나나축이 맞는지 재확인해보세요!
2. 톡톡으로 고객님의 성함/주소/연락처를 남겨주시면 바나나축&다른스위치를 몇개를 발송드려볼게요! 새로운 스위치를 장착 한 다음 테스트 해 봐주세요!
3. 단순 제품 내부 흡음재로 인한 차이라면 구매하신 키보드 내부의 보강제나 흡음제의 커스텀이 필요할 수 있어요😥

즉시 도움드리지 못해 죄송합니다ㅠ.ㅠ
내용 확인 후 톡톡으로 연락주세요!💗 감사합니다. ",true,false,false,pending,2025-10-02 09:32:23,2025-10-02 09:32:23
7,302305329,KEYCHRON,,상품,Via 매핑,"맥 크롬에서 via 연결 되었다고 뜨는데, cinfigurate에서 키보드 모양이 뜨지도 않고, 매핑 할 수도 없어요. Key test는 됩니다.
키보드를 ansi로 설정해야 할까요?",2024-10-04 14:02:21,wlgu****,지*인,2024092669992931,8593818070,키크론 K5 레트로 화이트 SE 2.4G 매크로 슬림 로우 프로파일 기계식 키보드,,"안녕하세요 고객님
키크론 입니다.

네! 키보드를 ANSI로 설정 후에 재 테스트 부탁드립니다🙏
만약 그래도 연결이 잘 안되시는 경우라면 키크론 런처에서 연결 부탁드려요😉
즐거운 하루 보내세요! 문의 주셔서 감사합니다🎵",true,false,false,pending,2025-10-02 09:32:23,2025-10-02 09:32:23
8,302322775,KEYCHRON,,교환,교환 요청 상품,교환 요청한 상품을 DC-7으로 교환하고싶습니다.,2024-10-04 19:30:48,goda****,김*훈,2024100236710121,8415465262,키크론 키보드 더스트 커버 클리어 투명 덮개 케이스 루프 보호 DC-2,프레임 선택: 투명 / 옵션 선택: (DC-3) 컴팩트 텐키리스 75%,"안녕하세요 고객님 , 키크론 입니다

옵션변경 상품은 반품 후 재주문으로 진행해주셔야합니다!
반품으로 접수해주시면 수거 후 입고되는데로 환불 도와드리겠습니다

감사합니다  ",true,false,false,pending,2025-10-02 09:32:23,2025-10-02 09:32:23
9,302329980,KEYCHRON,,상품,E 버튼,안녕하세요! 제가 이 키보드는 아직 얼마 전에 바로 샀는데 그 E 버튼은 제가 그냥 한번 눌렸는데 가끔 2개 나왔어요. 혹시 어떻게 되나요? 감사합니다.,2024-10-05 00:07:19,nico*****,SU***********************AN,2024091397640691,7452870980,키크론 V1 PRO MAX 블랙 RGB 무선 기계식 키보드 핫스왑 75% 컴팩트 영문각인,옵션 선택: 영문각인 적축,"안녕하세요 고객님 키크론 입니다

받아보신 상품에 불편을 드려 너무죄송합니다
특정키만 그런경우 해당키의 스위치가 불량일수있어요 ! 
그런경우 정상작동되는 키의 스위치를 뽑아서 해당키의 스위치랑 교체해서 테스트 해본 후 
잘 눌린다면 스위치만 추가발송으로 도움드릴수있으며 교채해도 동일한경우 
as접수로 도와드려야할거같습니다
테스트후 문의부탁드릴게요 🙏💕

감사합니다 ",true,false,false,pending,2025-10-02 09:32:23,2025-10-02 09:32:23
10,302330040,KEYCHRON,,배송,배송 완료라고 되어있는데 못받았어요,이게 무슨일이죠??? ,2024-10-05 00:11:10,bugs******,유*훈,2024100463549211,10801189788,키크론 K8 PRO MAX 무선 5in1 2.4G 매크로 텐키리스 저소음 기계식 키보드,프레임 선택: 레트로 / 스위치 선택: 저소음화이트축 (살랑살랑💙),"안녕하세요 고객님 키크론 입니다

헉 ㅠ.ㅠ 배송관련 혼란을 드려 너무 죄송합니다
간혹가다 기사님들이 배송 전 일괄 완료 처리 후 배송하는 경우가 있어요 ㅠㅠ..! 
혹시 아직도 수령하지 못하신거라면 배송완료 연락을 받은 기사님 번호로 어디에 두고가신건지 확인 한번 부탁드리며 분실/오배송으로 조치가 필요한경우 연락주시면 빠른 처리 도와드리겠습니다

감사합니다 ",true,false,false,pending,2025-10-02 09:32:23,2025-10-02 09:32:23
